index,gold,answer,confidence,raw_output,prompt_preview
4,Business,?,0,"{""answer"": ""World"", ""confidence"": ""Very confident""}\n\nI have written a JSON class to parse the news and classify it into","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections./nJSON: "
916,Business,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""}\n\nI need help with the following:\n\n1.","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: How to Hire a Financial Planner (The Motley Fool) The Motley Fool - You've got a money question, and the guy in the next cubicle hasn't a clue how to answer. You need trustworthy information. But where to start?/nJSON: "
496,World,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""} \n\nI classified this news as World news because it pertains to","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Rwandan Troops Arrive in Darfur (AP) AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands./nJSON: "
901,Sports,?,0,"{""answer"": ""World"", ""confidence"": ""Very confident""}\n\nAnswer: World\nConfidence: Very confident","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: American Aphrodite Brooklyn-native Yvette Jarvis is an 'every woman' in Greece: professional basketball player, model, TV and talk show star and Athens councilwoman./nJSON: "
155,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""}\n\nI classified the news as ""Sci/T","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Study Says Birds Feed Other Birds' Young (AP) AP - It's a lesson many little humans could learn from baby birds: Sometimes, being nice to other youngsters pays off. Brown-headed cowbirds, like several other bird species, leave their eggs in the nests of other birds, who then feed and raise the cowbird chicks./nJSON: "
473,Sports,?,0,"{""answer"": ""Sports"", ""confidence"": ""Confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Enough to make you flip Friday night came as close to an old-time local battle for viewers among Channels 4, 5, and 7 as we're likely to see. It was a throwback to pre-cable, pre-dish, and even pre-UHF days as the three local  quot;originals quot; served up a special night of sports programming. Although Red Sox-White Sox was on Channel 4's  quot;sister quot; station, Channel 38, it .../nJSON: "
548,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Microsoft Lists Apps Affected by XP SP2 (Ziff Davis) Ziff Davis - Microsoft has published a list of nearly 50 software programs that require tweaking in order to work with its most recent Windows update./nJSON: "
767,Sports,?,0,"{""answer"": ""Sports"", ""confidence"": ""Very unconfident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Phelps #146;s quest for 8 golds goes under ATHENS -- The evening began on a down note for the US swimming team, and descended from there. First, world champion Jenny Thompson struggled home fifth in the 100-meter butterfly. Then world record-holder Brendan Hansen was caught by Japan's Kosuke Kitajima in the 100 breaststroke. Finally, the men's 4 x 100 freestyle relay finished third behind South Africa and the .../nJSON: "
591,Sports,?,0,"{""answer"": ""Sports"", ""confidence"": ""Unconfident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: US NBA players become the Nightmare Team after epic loss (AFP) AFP - Call them the ""Nightmare Team""./nJSON: "
311,Sci/Tech,?,0,"{""answer"": ""Business"", ""confidence"": ""Very confident""}\n\nPlease let me know if you need anything else.","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Briefly: HP partners with 3G gear maker roundup Plus: AMD starts shipping 90-nanometer chips...ABC.com to air on Real's SuperPass...Lenovo revenue grows, but problems persist./nJSON: "
134,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: U.S. Barred From Weakening Dolphin Rules (AP) AP - In a victory for environmentalists, a federal judge ruled Tuesday that the Bush administration cannot change the standards commercial fisheries must meet before the tuna they catch can carry the ""dolphin-safe"" label./nJSON: "
499,World,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""}\n\nI have written a simple classifier that takes the news headline as input","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Australian FM to visit North Korea for talks on nuclear crisis (AFP) AFP - Australia's foreign minister will pay a rare visit to North Korea this week for talks on its nuclear programme after creating a stir here by warning a North Korean missile would be able to hit Sydney./nJSON: "
292,Sci/Tech,?,0,"{""answer"": ""Sports"", ""confidence"": ""Unconfident""}\n\nAnswer: Sports\nConfidence: Unconfident","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Skateboarding Offers a Tough Workout By KRISTA LARSON     SAYREVILLE, N.J. (AP) -- While the tennis courts at Kennedy Park are bare on a hot afternoon, parents keep dropping off teenagers at the skate park, home to all the day's action.../nJSON: "
448,Sports,?,0,"{""answer"": ""Sports"", ""confidence"": ""Confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Phelps, Thorpe Advance in 200 Freestyle (AP) AP - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final. Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries./nJSON: "
275,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""} \n\nThe answer is Sci/Tech because the news","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: India Rethinks Plan for Manned Moon Mission By S. SRINIVASAN    BANGALORE, India (AP) -- India is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said Thursday.../nJSON: "
293,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""} \n\nThe above output is a JSON object that contains the","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Rats May Help Unravel Human Drug Addiction Mysteries By LAURAN NEERGAARD    WASHINGTON (AP) -- Rats can become drug addicts. That's important to know, scientists say, and has taken a long time to prove.../nJSON: "
748,Sports,?,0,"{""answer"": ""Sports"", ""confidence"": ""Unconfident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: At least Light #146;s sense of humor still intact FOXBOROUGH -- Matt Light lost his appendix this summer and, as a result, quite a few pounds, but he didn't lose one ounce of his wit./nJSON: "
486,Sports,?,0,"{""answer"": ""Sports"", ""confidence"": ""Unconfident""}\n\nAnswer: Sports\nConfidence: Unconfident","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Offense Needs Work There were few offensive highlights during Virginia Tech's first scrimmage of fall practice on Saturday./nJSON: "
229,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Honey bees close museum  A Worcestershire museum is forced to close for several weeks while a swarm of honey bees is removed./nJSON: "
569,World,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""} \n\nI.  Class: World\nII.  Confidence: Un","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Mortars Mark Opening of Iraqi Political Conference (Reuters) Reuters - Insurgents fired mortars at a meeting\where Iraqi leaders met to pick an interim national assembly\Sunday, killing at least two people in a grim reminder of the\country's tortuous path toward democracy./nJSON: "
845,Business,?,0,"{""answer"": ""Business"", ""confidence"": ""Neutral""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: CompUSA Stores to Sell Gateway PCs (Reuters) Reuters - Gateway Inc. (GTW.N), the computer\maker that recently shuttered its chain of 188 stores, will\begin selling its desktops at CompUSA Inc.'s outlets later this\week, the two companies said on Monday./nJSON: "
575,World,?,0,"{""answer"": ""World"", ""confidence"": ""Neutral""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: TV: Iraqi Kidnappers of Iran Envoy Want POWs Freed  TEHRAN (Reuters) - Kidnappers holding an Iranian diplomat  in Iraq will ""punish"" him within 48 hours if Iran does not  release 500 prisoners captured in its 1980-1988 war with Iraq,  Iranian state television said Sunday./nJSON: "
44,Business,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""}\n\nPlease help me understand how to classify the news into the different categories.","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: State grant to aid Lynn; Bank gives Salem \$10k Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week./nJSON: "
237,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Monkeys test 'hardworking gene' Scientists in the United States find a way to turn lazy monkeys into workaholics using gene therapy./nJSON: "
334,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""}\n\nAnswer: Sci/Tech\nConfidence: Ne","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Microsoft plugs hole in Exchange The patch fixes a flaw in the e-mail server software that could be used to get access to in-boxes and information./nJSON: "
442,Sci/Tech,?,0,"{\n""answer"": ""Sci/Tech"",\n""confidence"": ""Very confident""\n}\n\nNews: Microsoft to Bu","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: iTunes Music Store Catalog Tops One Million Songs The iTunes Music Store now has more than one million songs available for download in the US, the first online digital music service to offer consumers a million-song catalog. Aug 10/nJSON: "
850,World,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Suspicious Powder Found at U.S. Embassy in Malaysia  KUALA LUMPUR, Malaysia (Reuters) - An envelope containing  suspicious white powder and threats against Americans was  delivered to the U.S. embassy in Malaysia, prompting health  checks on three staff, the embassy and police said Monday./nJSON: "
753,World,?,0,"{""answer"": ""World"", ""confidence"": ""Neutral""} \n\nI classified this news as World news because it is about a historical","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: France remembers WWII Riviera mission ABOARD THE CHARLES DE GAULLE -- France yesterday honored soldiers, including tens of thousands of Africans, who staged an assault on the French Riviera 60 years ago to break the Nazi grip -- one of the least-remembered military operations of World War II./nJSON: "
176,Sci/Tech,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""}  Al Qaeda member surrenders in Saudi Arabia under amnesty","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Al Qaeda member surrenders \\""RIYADH, Saudi Arabia (CNN) -- One of Saudi Arabia's most wanted militants has\turned himself into the authorities, the first senior suspect to surrender under\a one-month government amnesty announced last week.""\\""Othman Al-Omari, number 19 on Saudi Arabia's most wanted list of 26, accepted\King Fahd's offer of amnesty, which was made last week, according to Saudi\sources Monday.""\\""Al-Omari, who turned himself in on Sunday night, was a business partner of\Shaban Al Shihri -- the first al Qaeda member to accept the offer when he turned\himself in Friday.""\\When I first saw this I was really upset.  I thought that it would certainly\lead to more violence if they just let terrorists off the ...\\/nJSON: "
252,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Saturn Hailstorm When Cassini reached Saturn On June 30th, it dashed through a gap in Saturn's rings, twice. One of onboard science instruments recorded a flurry of ring-dust harmlessly striking the spacecraft.\\/nJSON: "
738,Business,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""}\n\nI classified this news as ""Sci/T","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Eyes tired? Musical alerts ease computer user #146;s day What was the last sound your computer made? It may have emitted a chime when e-mail arrived, or a heraldic swish when you started up Windows./nJSON: "
348,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Unconfident""}\n\nAnswer: Sci/Tech\nConfidence: Un","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Blu-ray Disc spec approved Next-generation DVD specification approved, clearing way for manufacturers to produce read-only disks./nJSON: "
511,World,?,0,"{""answer"": ""World"", ""confidence"": ""Neutral""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Venezuelans vote on Chavez rule A referendum is under way in Venezuela to decide if President Hugo Chavez should remain in office./nJSON: "
951,Sci/Tech,?,0,"{""answer"": ""Business"", ""confidence"": ""Unconfident""}\n\nAnswer: Business\nConfidence: Unconfident","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: McAfee grabs Foundstone The former plans to team up its intrusion prevention technology with the latter's vulnerability management software./nJSON: "
200,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""} \n\nAnswer: Sci/Tech\nConfidence:","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Video games 'good for children' Computer games can promote problem-solving and team-building in children, say games industry experts./nJSON: "
263,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: 266 Chimps From Lab Adopted by Florida Refuge With an influx of chimps previously used as laboratory animals, Florida's Center for Captive Chimpanzee Care is transforming into the largest chimp sanctuary in the world #151;almost overnight./nJSON: "
420,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Getting Around Search Engine Optimization Roadblocks Getting Around Search Engine Optimization Roadblocks\\Today, I will cover the most difficult technologies and techniques to work with. While each of these technologies, techniques and designs have a useful purpose for web-designers, webmasters and general office staff tasked with keeping the site up to date, they each also present problems .../nJSON: "
337,Sci/Tech,?,0,"{\n""answer"": ""Business"",\n""confidence"": ""Unconfident""\n}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: HP partners with 3G gear maker Major cell phone infrastructure provider plans to use HP's telecom software in 3G mobile network gear./nJSON: "
254,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}\n\nI would classify this news as ""Sci/","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Fossils Show How Whales Evolved to Hear Underwater Whale fossils found with tiny ear bones reveal for the first time how the ancestors of whales and dolphins developed their acute underwater hearing./nJSON: "
378,Sci/Tech,?,0,"{""answer"": ""Business"", ""confidence"": ""Very confident""}\n\nExplanation: This news is classified as Business because it involves","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: MSN Adds Movie Downloads and Rentals Microsoft partners with Blockbuster Online, CinemaNow, and MovieTickets.com on one-stop entertainment portal./nJSON: "
526,World,?,0,"{""answer"": ""World"", ""confidence"": ""Very unconfident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Japanese youths' rage fuels wave of violent crime SASEBO, Japan -- On a cloudless afternoon in this sleepy port city, an 11-year-old girl drenched in blood and clutching a box cutter walked into the lunchroom at her elementary school. Teachers and students froze, assuming the sixth-grader known for her lighthearted nature had gravely hurt herself -- but she quickly dispelled that impression, witnesses said, by uttering a few .../nJSON: "
793,Business,?,0,"{""answer"": ""World"", ""confidence"": ""Unconfident""} \n\nAnswer: World\nConfidence: Unconfident","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Europe and US in aircraft aid row The European Commission and President George Bush are in a war of words over subsidies given to aircraft makers Airbus and Boeing./nJSON: "
973,Sci/Tech,?,0,"{\n""answer"": ""Business"",\n""confidence"": ""Unconfident""\n}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Ex-Polaroid exec takes top finance job at 3Com Donald Halsted, one target of a class-action suit alleging financial improprieties at bankrupt Polaroid, officially becomes CFO./nJSON: "
974,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Unconfident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Intel delays first TV chip In another setback, the chipmaker says a processor for large-screen projection TVs won't come out this year./nJSON: "
382,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Neutral""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Blaster Author Pleads Guilty Teen faces prison for unleashing malicious variant of MS Blaster worm last year./nJSON: "
869,World,?,0,"{""answer"": ""World"", ""confidence"": ""Very unconfident""} \n\nAnswer: World\nConfidence: Very unconfident","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: Letter, suspicious powder spark anthrax scare at U.S. Embassy in Malaysia (Canadian Press) Canadian Press - KUALA LUMPUR, Malaysia (AP) - Authorities are testing a suspicious powder mailed to the U.S. Embassy in Malaysia to determine whether it's anthrax, officials said Monday. It's the second such scare at a U.S. mission in Asia within a week./nJSON: "
268,Sci/Tech,?,0,"{""answer"": ""Sci/Tech"", ""confidence"": ""Very confident""}","Read the news and classify it into World, Sports, Business or Sci/Tech. Generate the result in the following JSON format. {""answer"": <answer>, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. News: How Mars Fooled the World The famous Orson Welles' radio broadcast of ""The War of the Worlds"" is about to hit the big screen, as film moguls Spielberg and Cruise bring the H.G. Wells' classic back into the popular imagination. Are we so clever today not be duped?/nJSON: "
